biosample_id,Initials,timepoint,stool_weight,processing_date,lab_id
E01JH0004,TLN,84,0.29,2012-04-26T00:00:00Z,307
E01JH0011,BNM,84,0.33,2012-04-26T00:00:00Z,312
E01JH0016,TAS,84,0.26,2012-04-26T00:00:00Z,316
E01JH0017,MLW,84,0.31,2012-04-26T00:00:00Z,317
E01JH0038,M-C,84,0.23,2012-04-26T00:00:00Z,332
E01JH0004,TLN,28,0.35,2012-04-25T00:00:00Z,281
E01JH0011,BNM,28,0.31,2012-04-25T00:00:00Z,286
E01JH0016,TAS,28,NS,NA,NA
E01JH0017,MLW,28,0.3,2012-04-25T00:00:00Z,289
E01JH0038,M-C,28,NS,NA,NA
E01JH0004,TLN,9,0.34,2012-04-23T00:00:00Z,251
E01JH0011,BNM,9,NW,2012-04-23T00:00:00Z,256
E01JH0016,TAS,9,0.32,2012-04-25T00:00:00Z,260
E01JH0017,MLW,9,0.32,2012-04-25T00:00:00Z,261
E01JH0038,M-C,9,0.32,2012-04-25T00:00:00Z,276
E01JH0004,TLN,7,0.33,2012-04-23T00:00:00Z,224
E01JH0011,BNM,7,0.29,2012-04-23T00:00:00Z,228
E01JH0016,TAS,7,0.4,2012-04-23T00:00:00Z,232
E01JH0017,MLW,7,0.37,2012-04-23T00:00:00Z,233
E01JH0038,M-C,7,0.42,2012-04-23T00:00:00Z,246
E01JH0004,TLN,6,0.33,2012-04-20T00:00:00Z,195
E01JH0011,BNM,6,0.36,2012-04-20T00:00:00Z,200
E01JH0016,TAS,6,0.49,2012-04-20T00:00:00Z,204
E01JH0017,MLW,6,0.75,2012-04-20T00:00:00Z,205
E01JH0038,M-C,6,0.39,2012-04-23T00:00:00Z,219
E01JH0004,TLN,5,0.55,2012-04-19T00:00:00Z,168
E01JH0011,BNM,5,0.36,2012-04-19T00:00:00Z,172
E01JH0016,TAS,5,0.39,2012-04-19T00:00:00Z,176
E01JH0017,MLW,5,0.5,2012-04-19T00:00:00Z,177
E01JH0038,M-C,5,NS,NA,NA
E01JH0004,TLN,4,0.57,2012-04-16T00:00:00Z,138
E01JH0011,BNM,4,0.54,2012-04-18T00:00:00Z,143
E01JH0016,TAS,4,0.43,2012-04-18T00:00:00Z,147
E01JH0017,MLW,4,0.18,2012-04-18T00:00:00Z,148
E01JH0038,M-C,4,0.68,2012-04-18T00:00:00Z,163
E01JH0004,TLN,3,0.23,2012-04-10T00:00:00Z,110
E01JH0011,BNM,3,0.98,2012-04-16T00:00:00Z,115
E01JH0016,TAS,3,0.53,2012-04-16T00:00:00Z,119
E01JH0017,MLW,3,0.53,2012-04-16T00:00:00Z,120
E01JH0038,M-C,3,0.37,2012-04-16T00:00:00Z,133
E01JH0004,TLN,2,0.25,2012-04-06T00:00:00Z,81
E01JH0011,BNM,2,0.23,2012-04-06T00:00:00Z,86
E01JH0016,TAS,2,0.82,2012-04-06T00:00:00Z,90
E01JH0017,MLW,2,0.22,2012-04-09T00:00:00Z,91
E01JH0038,M-C,2,1.01,2012-04-10T00:00:00Z,105
E01JH0004,TLN,1,0.78,2012-04-05T00:00:00Z,53
E01JH0011,BNM,1,0.26,2012-04-05T00:00:00Z,58
E01JH0016,TAS,1,0.22,2012-04-05T00:00:00Z,62
E01JH0017,MLW,1,0.4,2012-04-05T00:00:00Z,63
E01JH0038,M-C,1,NS,NA,NA
E01JH0004,TLN,0,0.26,2012-04-04T00:00:00Z,32
E01JH0011,BNM,0,0.32,2012-04-04T00:00:00Z,36
E01JH0016,TAS,0,NS,NA,NA
E01JH0017,MLW,0,0.29,2012-04-04T00:00:00Z,39
E01JH0038,M-C,0,NS,NA,NA
E01JH0004,TLN,-1,0.19,2012-03-29T00:00:00Z,3
E01JH0011,BNM,-1,0.26,2012-03-29T00:00:00Z,8
E01JH0016,TAS,-1,0.2,2012-03-30T00:00:00Z,12
E01JH0017,MLW,-1,0.16,2012-03-30T00:00:00Z,13
E01JH0038,M-C,-1,0.34,2012-03-30T00:00:00Z,28
