* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC3_8_20161206.eds
* Experiment Name = ERCC3_8_20161206
* Experiment Run End Time = 2016-12-06 14:12:41 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	1.461	-0.015
1	A1	2	Target 1	1.463	-0.013
1	A1	3	Target 1	1.469	-0.007
1	A1	4	Target 1	1.477	0.001
1	A1	5	Target 1	1.481	0.006
1	A1	6	Target 1	1.492	0.016
1	A1	7	Target 1	1.514	0.039
1	A1	8	Target 1	1.559	0.084
1	A1	9	Target 1	1.646	0.171
1	A1	10	Target 1	1.799	0.324
1	A1	11	Target 1	2.065	0.589
1	A1	12	Target 1	2.433	0.958
1	A1	13	Target 1	2.871	1.395
1	A1	14	Target 1	3.347	1.872
1	A1	15	Target 1	3.842	2.366
1	A1	16	Target 1	4.341	2.865
1	A1	17	Target 1	4.821	3.346
1	A1	18	Target 1	5.268	3.792
1	A1	19	Target 1	5.680	4.204
1	A1	20	Target 1	6.051	4.575
1	A1	21	Target 1	6.383	4.908
1	A1	22	Target 1	6.668	5.192
1	A1	23	Target 1	6.918	5.443
1	A1	24	Target 1	7.127	5.652
1	A1	25	Target 1	7.287	5.812
1	A1	26	Target 1	7.426	5.950
1	A1	27	Target 1	7.553	6.078
1	A1	28	Target 1	7.657	6.182
1	A1	29	Target 1	7.744	6.268
1	A1	30	Target 1	7.817	6.341
1	A1	31	Target 1	7.879	6.404
1	A1	32	Target 1	7.931	6.455
1	A1	33	Target 1	7.982	6.507
1	A1	34	Target 1	8.020	6.545
1	A1	35	Target 1	8.057	6.581
1	A1	36	Target 1	8.093	6.618
1	A1	37	Target 1	8.117	6.641
1	A1	38	Target 1	8.135	6.659
1	A1	39	Target 1	8.168	6.693
1	A1	40	Target 1	8.187	6.712
2	A2	1	Target 1	1.382	-0.010
2	A2	2	Target 1	1.382	-0.009
2	A2	3	Target 1	1.385	-0.006
