* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:12 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC4_9_20161206.eds
* Experiment Name = ERCC4_9_20161206
* Experiment Run End Time = 2016-12-06 15:59:53 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
1	      A1	1	471,904.031	211,603.219
2	      A2	1	491,945.531	207,813.672
3	      A3	1	509,942.281	207,409.625
4	      A4	1	545,546.500	219,562.766
5	      A5	1	548,094.438	217,560.453
6	      A6	1	581,845.938	219,545.031
7	      A7	1	603,527.625	805,774.062
8	      A8	1	565,545.812	753,261.188
9	      A9	1	577,685.875	780,604.062
10	      A10	1	540,322.688	750,961.625
11	      A11	1	540,305.562	783,246.875
12	      A12	1	504,148.125	742,928.875
13	      B1	1	455,783.812	188,899.703
14	      B2	1	463,954.281	182,192.141
15	      B3	1	524,234.906	201,183.438
16	      B4	1	560,533.875	211,696.500
17	      B5	1	554,709.000	204,374.031
18	      B6	1	577,058.188	211,767.812
19	      B7	1	588,566.500	764,841.500
20	      B8	1	611,376.000	802,537.250
21	      B9	1	589,424.188	782,102.250
22	      B10	1	578,879.375	781,288.188
23	      B11	1	544,990.250	761,001.625
24	      B12	1	508,040.344	709,960.875
25	      C1	1	460,949.438	184,235.625
26	      C2	1	509,490.125	203,077.234
27	      C3	1	529,372.812	204,155.516
28	      C4	1	580,472.312	215,997.797
29	      C5	1	670,103.438	246,161.250
30	      C6	1	589,624.875	212,494.484
31	      C7	1	603,224.625	768,372.312
32	      C8	1	625,896.812	807,277.438
33	      C9	1	602,964.688	797,656.500
34	      C10	1	595,803.750	787,767.312
35	      C11	1	554,976.438	757,199.188
36	      C12	1	538,964.375	758,642.188
37	      D1	1	465,621.469	182,170.234
38	      D2	1	481,496.031	192,972.891
39	      D3	1	503,463.656	182,489.938
40	      D4	1	556,566.438	210,701.859
41	      D5	1	585,170.938	208,540.297
42	      D6	1	606,144.938	215,867.328
43	      D7	1	617,085.062	783,122.438
