* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	571,008.500	59,933.219	39,888.812	466,163.531
2	      A2	1	579,046.188	51,169.496	43,247.309	491,710.000
3	      A3	1	598,640.938	47,975.867	48,631.980	504,799.312
4	      A4	1	643,531.562	49,223.398	55,981.250	544,394.875
5	      A5	1	633,350.625	45,714.105	58,107.082	549,837.188
6	      A6	1	649,758.000	47,241.027	61,572.504	568,210.562
7	      A7	1	771,549.812	58,856.008	64,343.523	598,264.625
8	      A8	1	728,118.625	57,150.164	60,901.949	568,579.562
9	      A9	1	763,363.062	63,774.852	60,209.262	578,309.500
10	      A10	1	755,881.875	67,256.375	55,776.797	563,015.062
11	      A11	1	769,251.250	76,090.188	51,774.043	540,374.125
12	      A12	1	712,239.938	80,438.766	44,684.512	502,329.719
13	      B1	1	534,394.938	50,114.848	39,981.891	449,026.375
14	      B2	1	528,947.188	45,225.602	43,390.496	462,547.375
15	      B3	1	586,228.875	44,700.020	51,527.703	520,577.219
16	      B4	1	629,833.125	44,921.699	59,607.293	555,747.750
17	      B5	1	636,798.062	44,501.148	63,398.852	569,212.500
18	      B6	1	641,192.938	43,547.227	66,009.219	578,302.125
19	      B7	1	749,811.062	54,030.180	68,283.125	597,314.938
20	      B8	1	698,838.875	51,593.820	62,911.711	566,200.500
21	      B9	1	748,024.125	58,262.203	63,807.621	590,303.562
22	      B10	1	740,724.812	62,684.418	57,712.203	567,521.438
23	      B11	1	716,089.438	65,769.469	51,249.984	535,318.312
24	      B12	1	681,777.938	71,634.164	44,559.184	505,491.562
25	      C1	1	560,973.750	51,760.340	43,319.824	474,911.375
26	      C2	1	580,340.562	47,742.461	49,711.137	497,382.812
27	      C3	1	586,876.750	43,183.215	55,041.195	524,184.875
28	      C4	1	642,206.812	43,776.008	65,002.555	572,601.375
29	      C5	1	669,160.500	44,084.387	71,887.219	605,250.812
30	      C6	1	625,266.750	40,796.953	70,162.953	572,671.562
31	      C7	1	735,839.562	50,906.082	72,532.789	601,013.438
32	      C8	1	800,845.188	57,627.301	77,801.484	645,688.125
33	      C9	1	764,198.562	57,646.070	70,500.602	615,325.625
34	      C10	1	765,686.562	62,184.363	64,211.129	596,354.500
35	      C11	1	764,245.562	67,229.398	57,533.734	576,412.188
36	      C12	1	724,263.562	72,932.656	50,189.988	534,405.438
37	      D1	1	548,404.125	48,313.336	42,662.340	467,366.656
38	      D2	1	562,035.688	45,162.348	48,397.023	484,671.656
39	      D3	1	568,897.250	40,671.441	54,081.234	507,025.281
40	      D4	1	617,513.875	42,679.617	64,421.148	554,387.375
41	      D5	1	624,430.188	40,461.695	69,379.070	567,182.000
42	      D6	1	646,125.562	41,735.273	74,909.102	596,590.500
43	      D7	1	769,139.062	52,318.535	78,828.703	624,006.000
44	      D8	1	775,248.625	54,906.195	76,658.242	626,874.938
45	      D9	1	710,574.688	52,830.480	68,090.523	577,963.062
46	      D10	1	771,928.188	61,198.609	66,172.008	601,651.938
47	      D11	1	729,501.375	64,617.289	57,918.613	560,162.688
48	      D12	1	695,643.562	67,509.344	48,734.406	522,810.094
49	      E1	1	550,314.062	48,892.078	42,487.688	469,814.781
50	      E2	1	575,245.125	45,701.621	51,172.434	504,853.438
51	      E3	1	617,777.875	45,224.953	61,071.059	550,200.875
52	      E4	1	604,272.875	40,467.266	64,157.449	552,760.312
53	      E5	1	621,269.312	40,569.574	69,217.008	565,375.312
54	      E6	1	666,743.938	41,864.906	78,101.281	612,619.688
55	      E7	1	716,963.562	49,776.879	73,556.383	580,634.688
56	      E8	1	723,149.000	50,570.098	73,241.508	589,362.812
57	      E9	1	750,349.812	55,449.773	71,491.727	601,852.375
58	      E10	1	760,949.125	60,328.422	67,847.164	597,710.312
59	      E11	1	735,825.375	64,651.809	57,542.184	552,561.938
60	      E12	1	684,260.062	66,238.016	47,994.453	511,150.062
61	      F1	1	520,692.531	46,101.246	39,859.582	445,928.000
62	      F2	1	520,492.281	42,803.582	46,225.457	455,501.344
63	      F3	1	564,720.812	42,050.168	54,321.516	507,615.375
64	      F4	1	587,695.062	41,782.656	60,614.227	526,476.562
65	      F5	1	655,181.250	43,619.531	70,496.562	585,714.375
66	      F6	1	649,024.500	43,424.523	73,491.367	590,108.312
67	      F7	1	681,803.438	48,010.305	68,654.484	556,176.500
68	      F8	1	715,055.062	54,492.012	68,146.125	556,847.438
69	      F9	1	719,595.188	55,652.477	66,501.547	571,010.812
70	      F10	1	691,676.562	56,864.879	58,891.938	536,454.688
71	      F11	1	664,839.188	59,907.234	51,549.930	508,021.406
72	      F12	1	644,802.875	66,447.000	44,815.723	482,595.656
73	      G1	1	531,011.188	51,529.336	39,087.559	451,052.812
74	      G2	1	543,436.438	47,770.539	44,754.305	471,997.062
75	      G3	1	553,120.312	44,438.957	51,305.426	492,158.938
76	      G4	1	598,912.000	44,639.445	57,279.840	529,108.500
77	      G5	1	595,223.688	42,607.754	62,386.926	537,216.375
78	      G6	1	597,650.062	41,195.555	63,359.113	536,785.062
79	      G7	1	654,833.375	48,584.562	61,750.754	525,124.500
80	      G8	1	675,706.625	52,026.098	62,913.141	541,182.750
81	      G9	1	660,320.875	52,968.223	58,271.121	519,776.531
82	      G10	1	703,400.000	60,733.176	56,736.816	539,684.188
83	      G11	1	642,172.938	60,535.941	47,716.906	488,293.688
84	      G12	1	629,747.688	67,985.984	42,643.258	460,101.875
85	      H1	1	475,553.219	48,122.848	32,745.602	388,928.812
86	      H2	1	503,576.750	46,431.488	38,228.273	426,426.219
87	      H3	1	527,798.125	45,322.801	44,116.266	461,756.938
88	      H4	1	556,500.625	45,090.000	50,640.133	476,260.406
89	      H5	1	561,367.312	43,635.461	53,516.980	496,264.812
90	      H6	1	556,004.500	42,235.070	54,002.184	490,016.344
91	      H7	1	637,834.562	50,937.840	54,713.348	494,239.438
92	      H8	1	664,772.875	54,258.488	55,758.168	515,414.469
93	      H9	1	648,186.500	56,265.270	51,729.828	500,000.375
94	      H10	1	644,073.375	59,553.625	47,931.535	481,582.000
95	      H11	1	606,535.438	59,813.859	41,163.688	443,307.094
96	      H12	1	591,755.000	68,299.125	36,928.473	428,134.250
1	      A1	2	577,144.438	60,954.871	39,697.531	465,567.156
2	      A2	2	579,090.000	51,339.203	42,665.902	490,145.438
3	      A3	2	599,000.125	48,284.812	48,309.180	503,544.875
4	      A4	2	648,391.688	50,141.258	56,251.906	545,245.438
5	      A5	2	638,144.438	46,257.129	57,858.922	550,407.688
6	      A6	2	656,407.125	47,993.926	61,866.535	570,288.750
