* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	AMPNC	HIGHSD	CQCONF
1	A1	false		Target 1	STANDARD	FAM	NFQ-MGB	9.929	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	N	N
2	A2	false		Target 1	STANDARD	FAM	NFQ-MGB	9.856	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	N	N
3	A3	false		Target 1	STANDARD	FAM	NFQ-MGB	9.872	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	N	N
4	A4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.143	12.687	4.359	358,246.812	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	4	Amp			N	Y	N
5	A5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.406	12.687	4.359	164,166.641	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
6	A6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.970	12.687	4.359	115,874.547	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
7	A7	false		Target 1	STANDARD	FAM	NFQ-MGB	10.862	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	6	Amp			N	N	N
8	A8	false		Target 1	STANDARD	FAM	NFQ-MGB	10.432	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	N	N
9	A9	false		Target 1	STANDARD	FAM	NFQ-MGB	10.359	10.218	0.404	100,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	N	N
10	A10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.795	12.687	4.359	239,462.188	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
11	A11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.977	12.687	4.359	214,039.688	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
12	A12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.940	12.687	4.359	219,046.969	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
13	B1	false		Target 1	STANDARD	FAM	NFQ-MGB	13.731	13.876	0.331	10,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	8	Amp			N	N	N
