* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	1.526	-0.024
1	A1	2	Target 1	1.533	-0.017
1	A1	3	Target 1	1.539	-0.011
1	A1	4	Target 1	1.548	-0.002
1	A1	5	Target 1	1.562	0.013
1	A1	6	Target 1	1.586	0.037
1	A1	7	Target 1	1.634	0.085
1	A1	8	Target 1	1.717	0.168
1	A1	9	Target 1	1.862	0.312
1	A1	10	Target 1	2.125	0.576
1	A1	11	Target 1	2.527	0.977
1	A1	12	Target 1	3.068	1.518
1	A1	13	Target 1	3.711	2.162
1	A1	14	Target 1	4.391	2.841
1	A1	15	Target 1	5.054	3.504
1	A1	16	Target 1	5.658	4.108
1	A1	17	Target 1	6.185	4.635
1	A1	18	Target 1	6.625	5.075
1	A1	19	Target 1	6.981	5.431
1	A1	20	Target 1	7.263	5.714
1	A1	21	Target 1	7.490	5.940
1	A1	22	Target 1	7.665	6.115
1	A1	23	Target 1	7.800	6.250
1	A1	24	Target 1	7.905	6.355
1	A1	25	Target 1	7.989	6.440
1	A1	26	Target 1	8.057	6.507
1	A1	27	Target 1	8.117	6.567
1	A1	28	Target 1	8.167	6.618
1	A1	29	Target 1	8.213	6.663
1	A1	30	Target 1	8.253	6.704
1	A1	31	Target 1	8.295	6.746
1	A1	32	Target 1	8.332	6.782
1	A1	33	Target 1	8.357	6.808
1	A1	34	Target 1	8.387	6.837
1	A1	35	Target 1	8.407	6.858
1	A1	36	Target 1	8.429	6.879
1	A1	37	Target 1	8.460	6.910
1	A1	38	Target 1	8.488	6.938
1	A1	39	Target 1	8.501	6.952
1	A1	40	Target 1	8.516	6.966
2	A2	1	Target 1	1.452	-0.016
2	A2	2	Target 1	1.452	-0.016
2	A2	3	Target 1	1.455	-0.013
