* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
1	      A1	1	469,748.812	716,718.250
2	      A2	1	487,551.750	708,049.688
3	      A3	1	503,427.906	731,892.188
4	      A4	1	543,133.938	789,206.188
5	      A5	1	563,393.688	800,001.938
6	      A6	1	579,450.312	810,955.938
7	      A7	1	566,844.562	899,192.938
8	      A8	1	566,671.438	893,719.438
9	      A9	1	575,840.062	917,173.375
10	      A10	1	548,734.750	892,681.688
11	      A11	1	533,460.562	899,672.188
12	      A12	1	504,758.781	892,679.750
13	      B1	1	458,036.906	673,454.188
14	      B2	1	451,724.469	630,532.062
15	      B3	1	521,579.031	721,985.750
16	      B4	1	559,030.750	773,521.500
17	      B5	1	572,396.812	777,296.188
18	      B6	1	582,959.250	787,746.688
19	      B7	1	594,615.500	916,399.500
20	      B8	1	572,464.125	872,102.000
21	      B9	1	589,547.562	915,718.375
22	      B10	1	562,706.125	896,860.125
23	      B11	1	535,775.188	882,723.188
24	      B12	1	495,796.500	819,614.000
25	      C1	1	462,539.281	665,587.750
26	      C2	1	495,751.062	707,108.875
27	      C3	1	532,905.188	728,612.062
28	      C4	1	578,446.750	789,386.312
29	      C5	1	597,595.125	798,898.500
30	      C6	1	582,692.250	774,271.938
31	      C7	1	593,212.812	899,343.938
32	      C8	1	629,177.688	957,693.250
33	      C9	1	600,591.875	921,081.938
34	      C10	1	592,477.562	931,456.312
35	      C11	1	559,713.250	899,728.938
36	      C12	1	527,446.312	876,161.312
37	      D1	1	463,616.031	659,479.188
38	      D2	1	478,804.000	675,313.000
39	      D3	1	511,789.312	706,654.438
40	      D4	1	559,694.875	756,244.688
41	      D5	1	575,969.938	765,783.438
42	      D6	1	604,452.500	795,265.562
43	      D7	1	600,565.750	902,978.188
44	      D8	1	608,442.062	930,080.562
45	      D9	1	600,710.500	911,511.375
46	      D10	1	583,968.500	913,606.625
47	      D11	1	558,504.625	895,917.375
48	      D12	1	520,788.562	853,308.812
49	      E1	1	482,126.500	681,764.000
50	      E2	1	496,594.438	691,893.188
51	      E3	1	548,859.750	769,584.875
52	      E4	1	560,922.062	743,059.938
53	      E5	1	578,831.000	771,764.938
54	      E6	1	616,750.562	810,967.500
55	      E7	1	571,926.188	863,439.875
56	      E8	1	584,550.750	887,409.562
57	      E9	1	616,141.000	958,311.438
58	      E10	1	583,343.500	918,003.562
59	      E11	1	547,805.000	875,044.875
60	      E12	1	521,345.062	851,276.875
61	      F1	1	450,277.312	637,846.375
62	      F2	1	465,937.688	651,385.375
