* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	777,369.125	81,592.555	40,719.855	480,310.688
2	      A2	1	765,256.750	69,174.039	44,001.414	493,571.938
3	      A3	1	789,341.438	63,925.590	49,913.980	509,205.031
4	      A4	1	840,513.938	171,096.031	79,846.523	545,617.688
5	      A5	1	855,876.062	159,594.938	80,838.680	566,642.312
6	      A6	1	867,788.500	147,178.875	81,253.852	580,131.938
7	      A7	1	959,693.312	72,204.203	62,218.930	569,226.188
8	      A8	1	955,179.125	73,537.992	61,045.379	569,277.438
9	      A9	1	979,475.188	80,837.875	60,317.172	580,038.688
10	      A10	1	961,374.688	83,590.906	54,196.621	557,025.375
11	      A11	1	964,567.000	92,826.375	50,149.094	538,413.000
12	      A12	1	927,443.688	100,891.336	44,791.059	506,487.906
13	      B1	1	721,728.375	68,237.023	40,250.262	460,091.312
14	      B2	1	677,081.438	58,471.895	42,681.660	453,062.938
15	      B3	1	779,438.750	60,580.125	52,136.621	525,808.125
16	      B4	1	835,965.812	59,366.734	60,296.578	563,033.500
17	      B5	1	838,144.875	58,327.262	63,552.625	575,840.562
18	      B6	1	851,052.062	57,423.098	67,292.258	586,599.125
19	      B7	1	982,918.812	69,013.344	68,750.594	599,363.688
20	      B8	1	932,424.875	67,121.281	63,760.508	575,541.875
21	      B9	1	987,034.438	74,979.836	64,110.863	598,226.000
22	      B10	1	955,846.625	79,361.469	58,096.766	565,538.438
23	      B11	1	948,301.750	87,053.641	54,213.438	543,609.562
24	      B12	1	885,976.500	90,670.180	43,836.027	506,846.719
25	      C1	1	714,420.312	65,688.172	41,786.324	464,446.312
26	      C2	1	763,414.500	62,901.898	49,267.148	501,125.219
27	      C3	1	787,449.750	58,364.996	56,515.102	537,183.688
