* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	0.732	-0.020
1	A1	2	Target 1	0.733	-0.018
1	A1	3	Target 1	0.741	-0.010
1	A1	4	Target 1	0.755	0.003
1	A1	5	Target 1	0.759	0.007
1	A1	6	Target 1	0.769	0.017
1	A1	7	Target 1	0.797	0.045
1	A1	8	Target 1	0.851	0.100
1	A1	9	Target 1	0.947	0.195
1	A1	10	Target 1	1.120	0.369
1	A1	11	Target 1	1.412	0.660
1	A1	12	Target 1	1.854	1.103
1	A1	13	Target 1	2.454	1.703
1	A1	14	Target 1	3.160	2.408
1	A1	15	Target 1	3.904	3.152
1	A1	16	Target 1	4.641	3.890
1	A1	17	Target 1	5.328	4.577
1	A1	18	Target 1	5.953	5.201
1	A1	19	Target 1	6.504	5.752
1	A1	20	Target 1	6.983	6.231
1	A1	21	Target 1	7.402	6.651
1	A1	22	Target 1	7.765	7.014
1	A1	23	Target 1	8.073	7.322
1	A1	24	Target 1	8.334	7.582
1	A1	25	Target 1	8.550	7.798
1	A1	26	Target 1	8.733	7.982
1	A1	27	Target 1	8.902	8.151
1	A1	28	Target 1	9.044	8.292
1	A1	29	Target 1	9.150	8.398
1	A1	30	Target 1	9.238	8.486
1	A1	31	Target 1	9.326	8.574
1	A1	32	Target 1	9.382	8.630
1	A1	33	Target 1	9.447	8.696
1	A1	34	Target 1	9.498	8.746
1	A1	35	Target 1	9.543	8.792
1	A1	36	Target 1	9.584	8.833
1	A1	37	Target 1	9.622	8.870
1	A1	38	Target 1	9.659	8.907
1	A1	39	Target 1	9.680	8.928
1	A1	40	Target 1	9.705	8.954
2	A2	1	Target 1	0.702	-0.010
2	A2	2	Target 1	0.703	-0.009
2	A2	3	Target 1	0.705	-0.007
2	A2	4	Target 1	0.709	-0.002
