* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
1	      A1	1	454,675.031	332,703.344
2	      A2	1	468,267.500	328,653.438
3	      A3	1	491,821.250	338,947.625
4	      A4	1	529,228.125	360,539.406
5	      A5	1	540,339.125	352,014.062
6	      A6	1	570,668.875	373,923.688
7	      A7	1	579,133.875	1,086,343.750
8	      A8	1	572,565.625	1,064,030.000
9	      A9	1	563,671.125	1,080,202.500
10	      A10	1	544,018.688	1,051,477.000
11	      A11	1	529,121.250	1,058,096.875
12	      A12	1	482,702.906	988,482.625
13	      B1	1	439,176.500	303,954.156
14	      B2	1	480,428.469	324,247.594
15	      B3	1	514,845.188	333,013.719
16	      B4	1	549,615.625	353,633.844
17	      B5	1	565,513.625	358,872.938
18	      B6	1	566,554.750	354,230.031
19	      B7	1	585,469.500	1,082,384.250
20	      B8	1	555,644.875	998,252.188
21	      B9	1	582,013.125	1,074,777.625
22	      B10	1	556,791.312	1,050,671.375
23	      B11	1	531,513.750	1,031,627.500
24	      B12	1	491,292.875	963,247.688
25	      C1	1	452,625.531	304,820.344
26	      C2	1	473,019.625	315,813.750
27	      C3	1	503,143.406	329,461.656
28	      C4	1	572,000.000	403,919.531
29	      C5	1	580,824.750	357,417.219
30	      C6	1	572,043.250	353,397.781
31	      C7	1	590,942.625	1,081,401.500
32	      C8	1	627,247.062	1,148,138.750
33	      C9	1	595,684.688	1,088,358.000
34	      C10	1	588,227.688	1,102,056.750
35	      C11	1	554,226.812	1,063,909.750
36	      C12	1	521,049.969	1,026,009.375
37	      D1	1	454,688.188	300,543.312
38	      D2	1	464,945.625	307,846.938
39	      D3	1	514,789.250	324,671.062
40	      D4	1	549,035.188	346,707.625
41	      D5	1	563,260.812	346,520.406
42	      D6	1	586,554.188	359,898.594
43	      D7	1	600,173.875	1,079,634.750
44	      D8	1	598,163.125	1,089,890.250
45	      D9	1	576,174.312	1,067,604.750
46	      D10	1	572,065.750	1,067,366.000
47	      D11	1	547,392.500	1,046,401.875
48	      D12	1	512,236.625	999,888.188
49	      E1	1	460,568.625	307,454.312
50	      E2	1	484,621.375	312,705.969
51	      E3	1	527,171.812	335,906.438
52	      E4	1	536,810.812	334,120.438
53	      E5	1	563,370.562	350,707.875
54	      E6	1	588,029.312	359,650.219
55	      E7	1	568,145.812	1,021,558.375
56	      E8	1	574,505.938	1,041,323.875
57	      E9	1	609,061.938	1,125,369.000
58	      E10	1	578,384.562	1,079,889.000
59	      E11	1	547,215.062	1,046,848.500
60	      E12	1	500,513.094	973,000.562
61	      F1	1	438,614.594	295,229.125
62	      F2	1	452,771.688	295,644.094
63	      F3	1	487,592.625	303,726.875
64	      F4	1	533,748.000	334,396.000
65	      F5	1	545,445.500	340,765.969
66	      F6	1	565,885.812	346,767.750
67	      F7	1	556,903.438	1,006,174.375
68	      F8	1	554,815.750	1,020,673.812
69	      F9	1	567,426.375	1,055,079.250
70	      F10	1	523,964.688	989,887.938
71	      F11	1	495,668.906	950,658.250
72	      F12	1	476,106.812	930,456.188
73	      G1	1	418,641.594	289,985.281
74	      G2	1	453,110.625	300,988.156
75	      G3	1	481,861.812	308,386.125
76	      G4	1	497,451.281	313,713.969
77	      G5	1	522,348.312	332,238.156
78	      G6	1	535,835.062	337,708.188
79	      G7	1	518,747.062	952,553.375
80	      G8	1	529,722.688	977,882.938
81	      G9	1	516,696.719	971,596.062
82	      G10	1	527,659.688	1,014,515.000
83	      G11	1	481,549.750	934,486.625
84	      G12	1	447,950.656	892,744.000
85	      H1	1	390,203.844	280,690.062
86	      H2	1	422,411.062	284,491.812
87	      H3	1	447,568.625	287,911.000
88	      H4	1	464,539.031	307,790.031
89	      H5	1	496,985.406	312,920.562
90	      H6	1	492,253.000	318,700.438
91	      H7	1	504,295.844	933,699.188
92	      H8	1	506,161.562	953,932.375
93	      H9	1	490,980.250	911,648.312
94	      H10	1	465,523.625	907,523.938
95	      H11	1	436,815.000	859,044.625
96	      H12	1	431,283.562	862,467.250
1	      A1	2	454,086.781	333,018.719
2	      A2	2	467,862.875	328,719.125
3	      A3	2	490,286.188	338,771.188
4	      A4	2	528,753.000	360,772.969
5	      A5	2	541,183.000	353,949.938
6	      A6	2	568,627.312	374,240.656
7	      A7	2	580,180.125	1,089,443.250
8	      A8	2	572,343.438	1,064,416.750
9	      A9	2	563,535.375	1,080,409.625
10	      A10	2	544,410.500	1,052,683.375
11	      A11	2	528,724.875	1,058,534.375
12	      A12	2	483,424.875	991,443.188
13	      B1	2	436,501.031	303,173.625
14	      B2	2	479,018.125	323,587.188
15	      B3	2	514,899.188	333,083.062
16	      B4	2	549,540.062	354,228.156
17	      B5	2	566,715.438	360,447.781
18	      B6	2	567,709.938	355,884.781
19	      B7	2	585,086.438	1,082,716.000
20	      B8	2	556,012.438	1,001,305.688
21	      B9	2	581,586.250	1,075,108.375
22	      B10	2	557,420.875	1,052,025.125
23	      B11	2	531,689.000	1,033,625.812
24	      B12	2	489,606.938	962,454.000
25	      C1	2	452,534.906	304,931.406
26	      C2	2	474,053.562	318,148.406
27	      C3	2	504,272.531	331,656.969
28	      C4	2	572,147.312	404,945.125
29	      C5	2	582,756.188	359,377.844
30	      C6	2	573,656.812	355,239.906
31	      C7	2	590,679.312	1,082,319.750
32	      C8	2	626,758.875	1,148,311.125
33	      C9	2	595,759.875	1,088,829.750
34	      C10	2	587,398.688	1,102,200.000
35	      C11	2	555,238.938	1,066,799.250
36	      C12	2	520,517.969	1,027,421.125
37	      D1	2	455,367.969	301,995.906
38	      D2	2	464,964.781	308,073.625
39	      D3	2	514,735.031	325,786.594
40	      D4	2	548,563.688	347,791.875
41	      D5	2	564,570.062	347,788.438
42	      D6	2	588,038.188	361,589.031
43	      D7	2	599,830.750	1,079,774.875
44	      D8	2	598,324.000	1,090,501.375
45	      D9	2	577,791.500	1,073,080.500
46	      D10	2	573,485.688	1,070,479.375
47	      D11	2	546,981.188	1,048,218.000
48	      D12	2	510,067.656	999,076.000
49	      E1	2	453,151.438	304,310.844
50	      E2	2	483,731.219	313,225.000
51	      E3	2	528,024.562	338,180.344
52	      E4	2	537,538.938	335,748.594
53	      E5	2	562,563.125	351,726.531
54	      E6	2	589,623.688	361,715.250
55	      E7	2	568,213.125	1,022,117.688
56	      E8	2	575,740.688	1,044,776.688
57	      E9	2	609,695.625	1,128,903.375
58	      E10	2	578,782.938	1,082,193.500
59	      E11	2	548,609.938	1,049,530.000
60	      E12	2	499,487.406	973,520.188
61	      F1	2	438,610.906	295,185.906
62	      F2	2	452,294.375	296,073.875
63	      F3	2	487,436.562	304,051.000
64	      F4	2	533,962.312	336,249.406
65	      F5	2	546,853.312	343,074.906
66	      F6	2	567,350.000	348,932.719
67	      F7	2	557,129.562	1,007,917.125
68	      F8	2	554,669.500	1,021,600.000
69	      F9	2	567,469.000	1,055,662.625
70	      F10	2	523,925.500	989,437.000
71	      F11	2	496,659.344	953,370.312
72	      F12	2	476,858.156	933,526.438
73	      G1	2	418,381.438	290,385.625
74	      G2	2	454,020.812	302,254.250
75	      G3	2	481,421.281	309,973.281
76	      G4	2	497,707.031	315,430.594
77	      G5	2	522,950.844	333,392.344
78	      G6	2	537,040.062	340,309.000
79	      G7	2	520,053.938	955,966.500
80	      G8	2	530,128.562	980,818.125
81	      G9	2	516,171.875	971,887.500
82	      G10	2	527,121.875	1,014,930.188
83	      G11	2	481,928.062	937,647.125
84	      G12	2	448,262.844	894,852.938
85	      H1	2	388,987.562	280,624.688
86	      H2	2	422,048.375	284,702.844
87	      H3	2	447,376.656	288,158.312
88	      H4	2	464,132.875	308,035.406
89	      H5	2	496,418.469	313,207.062
90	      H6	2	491,124.438	319,972.156
91	      H7	2	503,908.562	934,027.750
92	      H8	2	506,077.969	954,206.188
93	      H9	2	490,529.375	911,767.062
94	      H10	2	466,045.844	909,963.625
95	      H11	2	437,194.812	859,839.688
96	      H12	2	429,404.219	859,701.562
1	      A1	3	451,702.219	334,816.781
2	      A2	3	467,694.250	329,813.156
3	      A3	3	489,270.844	339,522.531
4	      A4	3	528,323.312	363,784.781
5	      A5	3	542,799.188	356,995.469
6	      A6	3	567,671.000	374,970.812
7	      A7	3	581,800.500	1,098,015.750
8	      A8	3	571,981.812	1,068,901.250
9	      A9	3	563,431.688	1,083,530.625
10	      A10	3	545,073.438	1,059,006.750
11	      A11	3	528,503.250	1,064,250.750
12	      A12	3	482,554.906	997,561.438
13	      B1	3	435,092.938	302,900.031
14	      B2	3	478,354.750	323,449.531
15	      B3	3	516,404.219	334,358.656
16	      B4	3	550,142.125	356,608.688
17	      B5	3	568,180.938	362,779.750
18	      B6	3	569,205.438	358,647.594
19	      B7	3	584,556.625	1,084,850.875
20	      B8	3	556,564.938	1,004,978.562
21	      B9	3	581,187.312	1,078,782.500
22	      B10	3	558,383.625	1,057,385.625
23	      B11	3	531,624.438	1,036,817.625
24	      B12	3	488,088.844	961,636.438
25	      C1	3	452,540.406	306,345.906
26	      C2	3	475,995.688	321,353.781
27	      C3	3	506,079.938	335,697.812
28	      C4	3	574,313.000	409,606.312
29	      C5	3	585,540.625	363,575.625
30	      C6	3	575,341.375	359,051.125
31	      C7	3	590,460.812	1,084,868.500
32	      C8	3	626,423.000	1,149,164.375
33	      C9	3	597,363.125	1,094,539.250
34	      C10	3	587,148.188	1,103,123.875
35	      C11	3	556,840.562	1,072,504.875
36	      C12	3	516,850.969	1,027,272.875
37	      D1	3	455,598.281	303,318.062
38	      D2	3	466,068.438	310,137.438
39	      D3	3	514,587.250	328,302.406
40	      D4	3	548,174.750	348,747.906
41	      D5	3	566,557.250	351,034.219
42	      D6	3	590,157.562	365,173.812
43	      D7	3	599,407.125	1,081,695.625
44	      D8	3	598,718.062	1,094,643.875
45	      D9	3	580,959.125	1,083,543.750
46	      D10	3	576,020.625	1,079,782.875
47	      D11	3	546,807.938	1,049,621.000
48	      D12	3	508,291.250	998,545.312
49	      E1	3	449,062.812	302,937.875
50	      E2	3	483,331.344	313,659.594
51	      E3	3	529,595.125	340,488.688
52	      E4	3	537,662.312	337,673.875
53	      E5	3	562,201.000	352,839.312
54	      E6	3	591,923.000	365,274.625
55	      E7	3	567,945.375	1,025,865.125
56	      E8	3	577,790.188	1,048,889.750
57	      E9	3	609,969.875	1,131,749.500
58	      E10	3	579,106.000	1,084,752.875
59	      E11	3	550,344.750	1,055,725.250
60	      E12	3	498,804.062	974,395.500
61	      F1	3	439,031.500	295,520.094
62	      F2	3	452,021.344	296,570.875
63	      F3	3	487,547.875	304,546.719
64	      F4	3	534,766.750	339,602.594
65	      F5	3	548,544.750	346,851.031
66	      F6	3	569,649.500	353,679.406
67	      F7	3	556,664.500	1,010,147.312
68	      F8	3	554,423.375	1,022,799.500
69	      F9	3	567,179.938	1,057,490.625
70	      F10	3	524,308.188	989,606.562
71	      F11	3	498,137.750	957,350.750
72	      F12	3	474,758.000	932,394.875
73	      G1	3	416,956.281	290,884.750
74	      G2	3	455,380.906	304,046.031
75	      G3	3	481,332.906	310,795.719
76	      G4	3	494,542.344	318,439.875
77	      G5	3	524,229.844	337,417.938
78	      G6	3	538,632.625	344,549.531
79	      G7	3	520,986.281	962,599.688
80	      G8	3	529,932.500	983,222.562
81	      G9	3	515,851.844	972,755.438
82	      G10	3	527,152.125	1,015,665.938
83	      G11	3	482,853.938	939,656.625
84	      G12	3	447,295.562	896,262.062
85	      H1	3	386,695.344	279,719.594
86	      H2	3	420,767.656	286,252.844
87	      H3	3	446,891.625	289,504.000
88	      H4	3	463,604.719	311,039.781
89	      H5	3	495,727.438	314,985.906
90	      H6	3	489,074.188	321,865.969
91	      H7	3	503,582.094	937,664.812
92	      H8	3	505,580.344	955,671.938
93	      H9	3	489,370.344	913,007.438
94	      H10	3	466,785.781	913,346.812
95	      H11	3	437,476.250	862,969.062
96	      H12	3	419,164.031	839,390.562
1	      A1	4	445,954.812	336,539.031
2	      A2	4	468,550.938	332,418.219
3	      A3	4	489,319.812	343,744.875
4	      A4	4	528,536.188	367,514.156
5	      A5	4	543,188.812	360,469.375
6	      A6	4	568,636.625	378,568.188
7	      A7	4	582,771.812	1,104,090.375
8	      A8	4	571,837.688	1,072,794.500
9	      A9	4	563,304.625	1,089,059.125
10	      A10	4	544,258.500	1,066,521.375
11	      A11	4	529,101.125	1,071,914.500
12	      A12	4	481,507.719	1,000,878.938
13	      B1	4	435,353.312	303,639.844
14	      B2	4	479,080.750	324,823.469
15	      B3	4	517,218.844	336,935.062
16	      B4	4	550,487.875	358,316.219
17	      B5	4	568,826.812	365,437.188
18	      B6	4	570,365.938	362,278.312
19	      B7	4	584,266.938	1,085,808.875
20	      B8	4	556,577.812	1,006,614.438
21	      B9	4	581,309.938	1,080,818.500
22	      B10	4	557,991.812	1,058,452.250
23	      B11	4	528,598.500	1,036,530.562
24	      B12	4	487,548.250	962,027.688
25	      C1	4	452,411.844	308,047.188
26	      C2	4	477,194.125	323,438.781
27	      C3	4	507,460.844	337,992.594
28	      C4	4	575,267.062	414,095.781
29	      C5	4	586,902.000	368,399.219
30	      C6	4	576,316.125	361,253.531
31	      C7	4	591,023.625	1,088,462.875
32	      C8	4	626,810.500	1,152,920.000
33	      C9	4	598,429.125	1,099,302.375
34	      C10	4	588,382.125	1,107,665.250
35	      C11	4	557,516.625	1,077,097.375
36	      C12	4	515,630.688	1,026,328.500
37	      D1	4	455,976.375	304,353.969
38	      D2	4	467,437.469	313,943.188
39	      D3	4	514,917.938	329,838.344
40	      D4	4	548,625.000	351,367.000
41	      D5	4	568,240.312	354,365.156
42	      D6	4	591,192.375	367,255.938
43	      D7	4	599,308.000	1,084,391.375
44	      D8	4	599,683.438	1,099,137.125
45	      D9	4	582,141.938	1,087,168.750
46	      D10	4	577,460.875	1,085,299.000
47	      D11	4	547,354.938	1,053,155.125
48	      D12	4	508,014.531	998,763.750
49	      E1	4	448,797.594	303,940.062
50	      E2	4	483,729.781	315,117.031
51	      E3	4	530,469.500	342,800.750
52	      E4	4	534,451.875	339,235.438
53	      E5	4	563,283.188	356,332.219
54	      E6	4	592,982.938	369,928.750
55	      E7	4	567,553.125	1,027,257.562
56	      E8	4	578,871.312	1,053,418.875
57	      E9	4	610,571.375	1,134,494.625
58	      E10	4	580,212.000	1,089,347.500
59	      E11	4	550,643.188	1,060,267.250
60	      E12	4	498,645.312	977,645.125
61	      F1	4	439,301.562	297,099.719
62	      F2	4	452,372.438	298,151.844
63	      F3	4	488,802.781	305,879.344
64	      F4	4	534,532.438	345,400.250
65	      F5	4	549,572.500	352,333.375
66	      F6	4	571,161.375	359,148.688
67	      F7	4	556,372.875	1,013,172.000
68	      F8	4	554,433.062	1,024,139.875
69	      F9	4	566,958.500	1,059,414.875
70	      F10	4	524,947.312	991,901.500
71	      F11	4	499,236.719	961,201.938
72	      F12	4	473,009.531	931,612.000
73	      G1	4	416,185.125	292,030.812
74	      G2	4	456,188.000	304,600.469
75	      G3	4	481,835.406	311,610.156
76	      G4	4	493,467.906	319,892.156
77	      G5	4	525,334.938	341,530.406
78	      G6	4	539,462.250	347,777.750
79	      G7	4	521,411.688	965,162.625
80	      G8	4	529,542.438	985,254.812
81	      G9	4	515,732.812	973,980.562
82	      G10	4	528,513.812	1,018,831.812
83	      G11	4	483,550.594	941,889.375
84	      G12	4	445,964.188	896,165.188
85	      H1	4	383,347.812	278,758.406
86	      H2	4	417,677.531	285,408.094
87	      H3	4	446,490.969	290,707.938
88	      H4	4	463,391.500	314,386.719
