* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	380,220.344	41,198.938	40,589.059	457,500.812
2	      A2	1	382,255.594	33,329.070	42,942.566	474,307.531
3	      A3	1	392,645.219	33,525.168	49,944.527	495,244.000
4	      A4	1	418,875.750	32,011.975	54,953.398	532,427.062
5	      A5	1	408,414.344	30,397.078	57,704.410	540,948.125
6	      A6	1	436,711.719	32,309.283	62,781.395	575,682.500
7	      A7	1	1,145,876.625	90,327.289	63,798.281	581,431.312
8	      A8	1	1,133,022.500	91,875.570	63,295.691	579,033.312
9	      A9	1	1,144,447.875	98,509.961	60,465.969	568,126.500
10	      A10	1	1,109,721.375	100,228.734	54,041.559	546,385.000
11	      A11	1	1,120,911.375	112,627.805	49,795.066	533,486.125
12	      A12	1	1,036,303.188	116,320.242	45,348.938	482,992.188
13	      B1	1	352,528.969	33,425.441	39,130.992	443,950.438
14	      B2	1	377,901.594	32,608.328	44,923.023	483,963.781
15	      B3	1	391,171.594	30,009.807	52,100.312	522,136.438
16	      B4	1	413,351.156	29,652.424	59,711.012	551,948.500
17	      B5	1	418,891.688	30,149.881	63,175.703	566,072.375
18	      B6	1	414,472.188	28,638.025	64,870.613	567,203.625
19	      B7	1	1,147,226.250	84,645.594	68,661.188	590,692.688
20	      B8	1	1,055,540.625	79,963.781	62,167.020	559,095.062
21	      B9	1	1,145,409.250	91,871.273	63,711.148	586,546.438
22	      B10	1	1,109,930.000	95,867.883	57,406.312	559,263.438
23	      B11	1	1,086,992.625	101,581.977	50,324.293	534,129.688
24	      B12	1	1,017,712.938	109,319.328	43,761.801	495,734.562
25	      C1	1	357,805.781	32,455.949	41,171.840	462,162.156
26	      C2	1	363,880.531	30,146.098	46,504.805	473,062.344
27	      C3	1	381,419.938	29,215.670	53,610.609	503,391.719
