* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	HIGHSD
1	A1	false		Target 1	STANDARD	FAM	NFQ-MGB	10.583	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
2	A2	false		Target 1	STANDARD	FAM	NFQ-MGB	10.380	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
3	A3	false		Target 1	STANDARD	FAM	NFQ-MGB	10.480	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
4	A4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.380	13.433	3.932	90,533.172	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	Y
5	A5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.415	13.433	3.932	88,587.766	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	Y
6	A6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.523	13.433	3.932	82,737.555	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	Y
7	A7	false		Target 1	STANDARD	FAM	NFQ-MGB	10.104	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
8	A8	false		Target 1	STANDARD	FAM	NFQ-MGB	9.884	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
9	A9	false		Target 1	STANDARD	FAM	NFQ-MGB	9.775	10.201	0.331	100,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	N
10	A10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.865	13.433	3.932	235,177.484	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	4	Amp			N	Y
11	A11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	8.767	13.433	3.932	250,047.828	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	4	Amp			N	Y
12	A12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.376	13.433	3.932	170,429.516	49,688.844	60,118.992	28.503	0.998	-3.656	87.719	true	0.526	true	3	5	Amp			N	Y
13	B1	false		Target 1	STANDARD	FAM	NFQ-MGB	14.122	13.889	0.369	10,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	8	Amp			N	N
14	B2	false		Target 1	STANDARD	FAM	NFQ-MGB	14.261	13.889	0.369	10,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	8	Amp			N	N
15	B3	false		Target 1	STANDARD	FAM	NFQ-MGB	14.259	13.889	0.369	10,000.000			28.503	0.998	-3.656	87.719	true	0.526	true	3	8	Amp			N	N
