* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	308,746.000	3,400.288
1	A1	2	Target 1	310,792.406	3,501.837
1	A1	3	Target 1	311,431.406	2,195.981
1	A1	4	Target 1	310,676.969	-503.312
1	A1	5	Target 1	310,607.250	-2,517.887
1	A1	6	Target 1	312,831.781	-2,238.212
1	A1	7	Target 1	320,078.281	3,063.431
1	A1	8	Target 1	335,129.625	16,169.919
1	A1	9	Target 1	365,718.000	44,813.438
1	A1	10	Target 1	426,965.375	104,115.953
1	A1	11	Target 1	550,295.250	225,500.969
1	A1	12	Target 1	786,219.875	459,480.750
1	A1	13	Target 1	1,227,013.500	898,329.500
1	A1	14	Target 1	2,020,843.250	1,690,214.375
1	A1	15	Target 1	3,366,523.000	3,033,949.250
1	A1	16	Target 1	5,441,029.000	5,106,510.500
1	A1	17	Target 1	8,228,847.500	7,892,384.000
1	A1	18	Target 1	11,349,538.000	11,011,130.000
1	A1	19	Target 1	14,245,477.000	13,905,124.000
1	A1	20	Target 1	16,634,373.000	16,292,075.000
1	A1	21	Target 1	18,466,628.000	18,122,386.000
1	A1	22	Target 1	19,815,864.000	19,469,676.000
1	A1	23	Target 1	20,838,082.000	20,489,950.000
1	A1	24	Target 1	21,624,136.000	21,274,058.000
1	A1	25	Target 1	22,260,060.000	21,908,038.000
1	A1	26	Target 1	22,773,724.000	22,419,756.000
1	A1	27	Target 1	23,186,212.000	22,830,300.000
1	A1	28	Target 1	23,518,518.000	23,160,662.000
1	A1	29	Target 1	23,777,026.000	23,417,224.000
1	A1	30	Target 1	23,966,342.000	23,604,596.000
1	A1	31	Target 1	24,085,070.000	23,721,378.000
1	A1	32	Target 1	24,192,384.000	23,826,748.000
1	A1	33	Target 1	24,254,744.000	23,887,162.000
