* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	SYBR
1	      A1	1	308,746.000
2	      A2	1	287,255.781
3	      A3	1	170,579.922
4	      A4	1	154,981.016
5	      A5	1	158,089.047
6	      A6	1	210,354.906
7	      A7	1	153,407.156
8	      A8	1	146,155.016
9	      A9	1	
10	      A10	1	
11	      A11	1	
12	      A12	1	
13	      B1	1	123,461.555
14	      B2	1	120,146.680
15	      B3	1	151,588.047
16	      B4	1	150,459.000
17	      B5	1	219,228.234
18	      B6	1	144,856.297
19	      B7	1	142,676.141
20	      B8	1	268,216.875
21	      B9	1	
22	      B10	1	
23	      B11	1	
24	      B12	1	
25	      C1	1	112,677.039
26	      C2	1	107,707.414
27	      C3	1	136,043.172
28	      C4	1	140,890.453
29	      C5	1	141,333.281
30	      C6	1	144,536.422
31	      C7	1	142,623.484
32	      C8	1	867,181.438
33	      C9	1	
34	      C10	1	
35	      C11	1	
36	      C12	1	
37	      D1	1	107,229.211
38	      D2	1	119,350.398
39	      D3	1	123,654.328
40	      D4	1	137,711.641
41	      D5	1	132,246.578
42	      D6	1	150,823.422
43	      D7	1	158,953.219
44	      D8	1	141,721.844
45	      D9	1	
46	      D10	1	
47	      D11	1	
48	      D12	1	
49	      E1	1	111,488.922
50	      E2	1	112,372.312
51	      E3	1	134,689.844
52	      E4	1	302,067.625
53	      E5	1	136,466.984
54	      E6	1	199,084.609
55	      E7	1	133,858.328
56	      E8	1	286,634.250
57	      E9	1	
58	      E10	1	
59	      E11	1	
60	      E12	1	
61	      F1	1	102,480.812
62	      F2	1	105,261.773
63	      F3	1	168,943.484
64	      F4	1	165,495.094
65	      F5	1	135,180.094
66	      F6	1	180,585.031
67	      F7	1	133,309.453
68	      F8	1	214,279.234
69	      F9	1	
70	      F10	1	
71	      F11	1	
72	      F12	1	
73	      G1	1	103,364.523
74	      G2	1	113,287.906
75	      G3	1	139,223.984
76	      G4	1	136,382.031
77	      G5	1	130,566.008
78	      G6	1	176,392.484
79	      G7	1	128,692.305
80	      G8	1	178,543.156
81	      G9	1	
82	      G10	1	
83	      G11	1	
84	      G12	1	
85	      H1	1	94,096.461
86	      H2	1	100,730.156
87	      H3	1	122,342.539
88	      H4	1	143,144.484
89	      H5	1	126,751.297
90	      H6	1	170,933.828
91	      H7	1	115,955.438
92	      H8	1	118,558.648
93	      H9	1	
94	      H10	1	
95	      H11	1	
96	      H12	1	
1	      A1	2	310,792.406
2	      A2	2	287,471.594
3	      A3	2	170,314.516
4	      A4	2	155,036.984
5	      A5	2	157,943.922
6	      A6	2	210,528.750
7	      A7	2	153,423.734
8	      A8	2	145,682.672
9	      A9	2	
10	      A10	2	
11	      A11	2	
12	      A12	2	
13	      B1	2	123,041.141
14	      B2	2	120,095.883
15	      B3	2	151,630.156
16	      B4	2	152,466.375
17	      B5	2	219,900.484
18	      B6	2	144,258.844
19	      B7	2	142,397.250
20	      B8	2	270,600.281
21	      B9	2	
22	      B10	2	
23	      B11	2	
24	      B12	2	
25	      C1	2	112,516.688
26	      C2	2	107,618.211
27	      C3	2	135,967.766
28	      C4	2	140,931.375
29	      C5	2	141,504.812
30	      C6	2	144,437.062
31	      C7	2	141,875.219
32	      C8	2	862,254.062
33	      C9	2	
34	      C10	2	
35	      C11	2	
36	      C12	2	
37	      D1	2	106,758.641
38	      D2	2	119,127.094
39	      D3	2	123,286.320
40	      D4	2	137,757.000
41	      D5	2	131,590.016
42	      D6	2	149,739.625
43	      D7	2	158,187.562
44	      D8	2	141,201.281
45	      D9	2	
46	      D10	2	
47	      D11	2	
48	      D12	2	
49	      E1	2	111,418.188
50	      E2	2	111,751.141
51	      E3	2	134,410.516
52	      E4	2	323,901.969
53	      E5	2	136,125.297
54	      E6	2	199,792.234
55	      E7	2	133,728.453
56	      E8	2	285,923.531
57	      E9	2	
58	      E10	2	
59	      E11	2	
60	      E12	2	
61	      F1	2	102,038.047
62	      F2	2	104,905.086
63	      F3	2	168,595.109
64	      F4	2	166,711.016
65	      F5	2	135,214.078
66	      F6	2	180,332.594
67	      F7	2	132,603.875
68	      F8	2	213,581.266
69	      F9	2	
70	      F10	2	
71	      F11	2	
72	      F12	2	
73	      G1	2	103,276.789
74	      G2	2	112,727.344
75	      G3	2	139,281.703
76	      G4	2	137,159.406
77	      G5	2	130,503.477
78	      G6	2	175,813.062
79	      G7	2	128,568.477
80	      G8	2	177,752.000
81	      G9	2	
82	      G10	2	
83	      G11	2	
84	      G12	2	
85	      H1	2	93,974.031
86	      H2	2	100,464.742
87	      H3	2	124,893.836
88	      H4	2	143,319.125
89	      H5	2	126,691.953
90	      H6	2	170,833.953
91	      H7	2	115,778.414
92	      H8	2	118,339.539
93	      H9	2	
94	      H10	2	
95	      H11	2	
96	      H12	2	
1	      A1	3	311,431.406
2	      A2	3	289,680.875
3	      A3	3	169,263.031
4	      A4	3	155,899.281
5	      A5	3	157,076.578
6	      A6	3	209,829.047
7	      A7	3	154,520.172
8	      A8	3	144,325.344
9	      A9	3	
10	      A10	3	
11	      A11	3	
12	      A12	3	
13	      B1	3	121,974.695
14	      B2	3	120,036.641
15	      B3	3	151,396.375
16	      B4	3	158,799.641
