* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	311,247.000	7,169.702	2,662.656	1,761.625
2	      A2	1	291,657.969	3,474.350	1,318.610	2,676.542
3	      A3	1	161,683.156	114,042.516	31,781.197	1,236.095
4	      A4	1	157,143.281	1,078.977	630.525	864.820
5	      A5	1	162,671.562	3,406.632	521.006	1,359.063
6	      A6	1	212,224.594	2,443.351	355.717	234.495
7	      A7	1	159,730.844	2,759.657	894.945	-277.423
8	      A8	1	150,477.625	2,567.289	770.713	886.586
9	      A9	1	41,449.879	5,023.629	2,179.218	5,720.357
10	      A10	1	36,521.520	2,799.453	1,811.911	2,910.757
11	      A11	1	63,783.395	8,327.246	3,763.090	6,662.089
12	      A12	1	36,051.496	4,038.771	2,636.635	3,969.492
13	      B1	1	126,125.867	2,645.800	1,816.315	1,934.153
14	      B2	1	124,404.586	2,201.960	-140.768	1,763.407
15	      B3	1	153,299.469	2,075.901	-234.351	4,115.650
16	      B4	1	148,841.438	2,844.259	855.650	375.911
17	      B5	1	220,272.781	2,490.377	-19.664	67.548
18	      B6	1	146,967.156	2,064.735	395.311	-50.430
19	      B7	1	144,379.031	1,314.036	501.640	1,051.904
20	      B8	1	267,265.750	2,230.900	-237.097	1,643.984
21	      B9	1	15,348.520	2,268.518	273.423	2,527.557
22	      B10	1	24,437.988	3,304.367	1,677.476	730.889
23	      B11	1	16,827.781	1,598.236	646.876	498.945
24	      B12	1	14,276.267	3,041.573	963.597	844.097
25	      C1	1	114,713.305	2,077.175	1,680.670	-36.947
26	      C2	1	111,244.641	2,618.728	770.432	-262.574
27	      C3	1	139,847.625	2,805.677	1,372.700	2,010.340
28	      C4	1	142,601.562	2,022.459	929.853	1,534.488
29	      C5	1	142,199.719	2,476.943	1,520.585	3,386.598
