* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
1	A1	1	Target 1	311,212.781	3,407.044
1	A1	2	Target 1	311,943.094	2,521.100
1	A1	3	Target 1	312,299.625	1,261.375
1	A1	4	Target 1	312,703.219	48.713
1	A1	5	Target 1	312,707.969	-1,562.794
1	A1	6	Target 1	313,820.969	-2,066.050
1	A1	7	Target 1	319,822.031	2,318.756
1	A1	8	Target 1	332,392.781	13,273.250
1	A1	9	Target 1	362,551.844	41,816.055
1	A1	10	Target 1	426,866.125	104,514.078
1	A1	11	Target 1	551,744.500	227,776.203
1	A1	12	Target 1	792,104.312	466,519.750
1	A1	13	Target 1	1,240,270.375	913,069.562
1	A1	14	Target 1	2,048,974.500	1,720,157.375
1	A1	15	Target 1	3,411,999.000	3,081,565.750
1	A1	16	Target 1	5,502,462.500	5,170,413.000
1	A1	17	Target 1	8,286,276.000	7,952,610.000
1	A1	18	Target 1	11,371,510.000	11,036,228.000
1	A1	19	Target 1	14,220,150.000	13,883,252.000
1	A1	20	Target 1	16,524,843.000	16,186,328.000
1	A1	21	Target 1	18,273,542.000	17,933,412.000
1	A1	22	Target 1	19,581,520.000	19,239,772.000
1	A1	23	Target 1	20,561,242.000	20,217,878.000
1	A1	24	Target 1	21,328,820.000	20,983,840.000
1	A1	25	Target 1	21,943,070.000	21,596,474.000
1	A1	26	Target 1	22,442,002.000	22,093,790.000
1	A1	27	Target 1	22,832,962.000	22,483,134.000
1	A1	28	Target 1	23,150,216.000	22,798,772.000
1	A1	29	Target 1	23,401,208.000	23,048,148.000
1	A1	30	Target 1	23,576,084.000	23,221,406.000
1	A1	31	Target 1	23,711,674.000	23,355,380.000
1	A1	32	Target 1	23,811,742.000	23,453,832.000
1	A1	33	Target 1	23,855,400.000	23,495,874.000
1	A1	34	Target 1	23,888,124.000	23,526,982.000
1	A1	35	Target 1	23,880,768.000	23,518,010.000
1	A1	36	Target 1	23,849,068.000	23,484,694.000
1	A1	37	Target 1	23,817,898.000	23,451,908.000
1	A1	38	Target 1	23,772,532.000	23,404,924.000
1	A1	39	Target 1	23,721,138.000	23,351,914.000
1	A1	40	Target 1	23,697,860.000	23,327,020.000
2	A2	1	Target 1	299,949.281	9,211.213
2	A2	2	Target 1	299,375.719	5,960.435
2	A2	3	Target 1	298,095.031	2,002.531
2	A2	4	Target 1	298,054.094	-715.622
2	A2	5	Target 1	299,375.969	-2,070.962
2	A2	6	Target 1	302,402.812	-1,721.334
2	A2	7	Target 1	309,306.750	2,505.387
2	A2	8	Target 1	324,456.469	14,977.891
2	A2	9	Target 1	359,604.594	47,448.801
2	A2	10	Target 1	430,778.438	115,945.430
2	A2	11	Target 1	567,761.125	250,250.906
2	A2	12	Target 1	826,638.625	506,451.188
2	A2	13	Target 1	1,310,712.000	987,847.375
