* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	SYBR
1	      A1	1	311,212.781
2	      A2	1	299,949.281
3	      A3	1	173,305.469
4	      A4	1	150,564.734
5	      A5	1	147,294.031
6	      A6	1	195,161.438
7	      A7	1	162,840.750
8	      A8	1	142,847.078
9	      A9	1	
10	      A10	1	
11	      A11	1	
12	      A12	1	
13	      B1	1	145,859.516
14	      B2	1	127,201.578
15	      B3	1	137,812.359
16	      B4	1	137,954.578
17	      B5	1	145,732.375
18	      B6	1	196,189.234
19	      B7	1	140,416.844
20	      B8	1	236,550.891
21	      B9	1	
22	      B10	1	
23	      B11	1	
24	      B12	1	
25	      C1	1	113,045.047
26	      C2	1	122,563.203
27	      C3	1	138,295.000
28	      C4	1	141,047.859
29	      C5	1	140,898.203
30	      C6	1	140,331.781
31	      C7	1	136,914.828
32	      C8	1	194,942.672
33	      C9	1	
34	      C10	1	
35	      C11	1	
36	      C12	1	
37	      D1	1	111,011.484
38	      D2	1	121,026.227
39	      D3	1	123,940.023
40	      D4	1	141,296.672
41	      D5	1	134,654.844
42	      D6	1	153,650.016
43	      D7	1	135,597.453
44	      D8	1	137,621.047
45	      D9	1	
46	      D10	1	
47	      D11	1	
48	      D12	1	
49	      E1	1	113,376.242
50	      E2	1	115,022.570
51	      E3	1	138,241.875
52	      E4	1	134,230.562
53	      E5	1	133,175.422
54	      E6	1	153,394.766
55	      E7	1	135,874.125
56	      E8	1	249,355.578
57	      E9	1	
58	      E10	1	
59	      E11	1	
60	      E12	1	
61	      F1	1	105,007.602
62	      F2	1	106,904.148
63	      F3	1	143,307.828
64	      F4	1	133,136.844
65	      F5	1	134,331.641
66	      F6	1	174,974.250
67	      F7	1	131,387.609
68	      F8	1	180,903.828
69	      F9	1	
70	      F10	1	
71	      F11	1	
72	      F12	1	
73	      G1	1	103,975.664
74	      G2	1	111,813.633
75	      G3	1	138,407.594
76	      G4	1	129,050.789
77	      G5	1	132,511.781
78	      G6	1	181,131.938
79	      G7	1	132,997.031
80	      G8	1	189,449.516
81	      G9	1	
82	      G10	1	
83	      G11	1	
84	      G12	1	
85	      H1	1	100,876.430
86	      H2	1	102,913.664
87	      H3	1	127,582.836
88	      H4	1	144,022.078
89	      H5	1	118,769.742
90	      H6	1	170,126.219
91	      H7	1	126,163.156
92	      H8	1	139,860.922
93	      H9	1	
94	      H10	1	
95	      H11	1	
96	      H12	1	
1	      A1	2	311,943.094
2	      A2	2	299,375.719
3	      A3	2	172,933.875
4	      A4	2	151,058.938
5	      A5	2	147,219.719
6	      A6	2	194,358.891
7	      A7	2	163,147.797
8	      A8	2	142,962.719
9	      A9	2	
10	      A10	2	
11	      A11	2	
12	      A12	2	
13	      B1	2	146,110.297
14	      B2	2	126,593.867
15	      B3	2	137,316.078
16	      B4	2	137,614.328
17	      B5	2	145,427.797
18	      B6	2	195,391.422
19	      B7	2	140,065.109
20	      B8	2	235,648.891
21	      B9	2	
22	      B10	2	
23	      B11	2	
24	      B12	2	
25	      C1	2	112,967.680
26	      C2	2	122,491.984
27	      C3	2	137,988.391
28	      C4	2	140,806.812
29	      C5	2	140,447.469
30	      C6	2	139,514.625
31	      C7	2	136,770.297
32	      C8	2	195,242.891
33	      C9	2	
34	      C10	2	
35	      C11	2	
36	      C12	2	
37	      D1	2	111,319.719
38	      D2	2	120,907.617
39	      D3	2	123,992.469
40	      D4	2	141,363.484
41	      D5	2	134,545.062
42	      D6	2	153,214.859
43	      D7	2	135,233.188
44	      D8	2	137,562.750
45	      D9	2	
46	      D10	2	
47	      D11	2	
48	      D12	2	
49	      E1	2	113,397.195
