* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
1	      A1	1	315,539.000	8,399.175	3,351.836	2,616.812
2	      A2	1	305,668.500	3,200.986	1,991.815	2,773.197
3	      A3	1	164,433.734	98,008.945	28,281.129	1,783.664
4	      A4	1	151,517.000	2,415.445	1,345.705	1,894.181
5	      A5	1	148,935.000	2,081.387	773.788	1,828.063
6	      A6	1	202,001.281	2,741.005	702.428	724.605
7	      A7	1	164,058.062	1,671.299	45.782	-742.161
8	      A8	1	144,108.188	2,307.100	897.129	1,331.216
9	      A9	1	36,439.461	7,211.708	5,470.030	6,321.745
10	      A10	1	33,938.008	4,213.195	1,323.559	3,578.782
11	      A11	1	51,821.293	6,131.083	2,584.005	5,919.891
12	      A12	1	41,011.883	4,557.708	2,766.712	4,351.633
13	      B1	1	147,970.156	2,527.439	1,076.806	2,051.218
14	      B2	1	131,688.422	2,543.510	389.928	2,176.295
15	      B3	1	140,129.594	2,184.193	198.861	4,118.599
16	      B4	1	141,100.797	1,591.565	817.343	-44.015
17	      B5	1	147,709.547	2,437.671	193.686	364.676
18	      B6	1	200,283.016	5,390.641	1,028.105	-22.376
19	      B7	1	143,104.516	2,217.886	1,716.930	554.236
20	      B8	1	245,049.141	3,200.315	1,085.978	1,683.462
21	      B9	1	18,215.227	3,598.171	2,900.750	2,688.537
22	      B10	1	16,045.030	1,774.593	670.223	-754.710
23	      B11	1	16,491.904	2,124.842	664.779	-138.162
24	      B12	1	16,923.758	3,395.334	1,936.185	952.083
25	      C1	1	115,062.703	1,260.806	693.610	-239.440
26	      C2	1	127,310.109	3,435.376	1,826.780	198.818
27	      C3	1	140,080.031	3,330.937	3,304.731	2,834.613
28	      C4	1	143,512.594	1,968.901	1,316.229	1,492.578
29	      C5	1	142,628.703	3,603.500	2,279.650	3,860.596
30	      C6	1	153,134.641	3,748.082	2,379.990	893.198
31	      C7	1	138,220.875	1,704.165	690.752	182.163
32	      C8	1	196,545.094	5,109.257	5,338.590	2,302.396
33	      C9	1	18,032.580	2,639.109	1,546.840	4,595.478
34	      C10	1	13,520.428	1,985.636	919.641	2,607.688
35	      C11	1	12,123.505	1,286.200	63.470	935.437
36	      C12	1	20,906.619	2,737.551	1,566.175	1,596.106
37	      D1	1	112,344.180	1,540.383	155.297	779.021
38	      D2	1	125,131.359	2,787.615	1,507.083	1,982.717
39	      D3	1	129,195.469	2,311.261	2,477.229	-611.242
